step,checkpoint,checkpoint_step,boundary_gap_filled,raw_demand,demand,capacity,task_count,capacity_per_task,slo_violation,reactive_task_count,reactive_capacity
239,75,27,False,0.78518146276474,0.78518146276474,2.0,2,1.0,False,2,2.0
240,75,28,False,0.6941569447517395,0.6941569447517395,2.0,2,1.0,False,2,2.0
241,75,29,False,0.7186636328697205,0.7186636328697205,2.0,2,1.0,False,2,2.0
242,75,30,False,0.6519566774368286,0.6519566774368286,2.0,2,1.0,False,2,2.0
243,75,31,False,0.767271101474762,0.767271101474762,2.0,2,1.0,False,2,2.0
244,75,32,False,0.7023518085479736,0.7023518085479736,2.0,2,1.0,False,2,2.0
245,75,33,False,0.8478726148605347,0.8478726148605347,2.0,2,1.0,False,2,2.0
246,75,34,False,0.8382569551467896,0.8382569551467896,2.0,2,1.0,False,2,2.0
247,75,35,False,0.811026394367218,0.811026394367218,2.0,2,1.0,False,2,2.0
248,75,36,False,0.7896639108657837,0.7896639108657837,2.0,2,1.0,False,2,2.0
249,75,37,False,0.6589863300323486,0.6589863300323486,2.0,2,1.0,False,2,2.0
250,75,38,False,0.6397157311439514,0.6397157311439514,2.0,2,1.0,False,2,2.0
251,75,39,False,0.6095866560935974,0.6095866560935974,2.0,2,1.0,False,2,2.0
252,75,40,False,0.6043990850448608,0.6043990850448608,1.0,1,1.0,False,2,2.0
253,75,41,False,0.6348005533218384,0.6348005533218384,1.0,1,1.0,False,2,2.0
254,75,42,False,0.6104387044906616,0.6104387044906616,1.0,1,1.0,False,2,2.0
255,75,43,False,0.736160159111023,0.736160159111023,1.0,1,1.0,False,2,2.0
256,75,44,False,0.7772212028503418,0.7772212028503418,1.0,1,1.0,False,2,2.0
257,75,45,False,0.7147121429443359,0.7147121429443359,1.0,1,1.0,False,2,2.0
258,75,46,False,0.759642481803894,0.759642481803894,1.0,1,1.0,False,2,2.0
259,75,47,False,0.7825742959976196,0.7825742959976196,1.0,1,1.0,False,2,2.0
260,75,48,False,0.6539320945739746,0.6539320945739746,1.0,1,1.0,False,2,2.0
261,75,49,False,0.6265266537666321,0.6265266537666321,1.0,1,1.0,False,2,2.0
262,75,50,False,0.6271549463272095,0.6271549463272095,1.0,1,1.0,False,2,2.0
263,75,51,False,0.6056694388389587,0.6056694388389587,1.0,1,1.0,False,2,2.0
264,75,52,False,0.6369902491569519,0.6369902491569519,1.0,1,1.0,False,2,2.0
265,75,53,False,0.643419086933136,0.643419086933136,1.0,1,1.0,False,2,2.0
266,75,54,False,0.668107807636261,0.668107807636261,1.0,1,1.0,False,2,2.0
267,75,55,False,0.6331537961959839,0.6331537961959839,1.0,1,1.0,False,2,2.0
268,75,56,False,0.7307857871055603,0.7307857871055603,1.0,1,1.0,False,2,2.0
269,75,57,False,0.7186629772186279,0.7186629772186279,1.0,1,1.0,False,2,2.0
270,75,58,False,0.8023039698600769,0.8023039698600769,1.0,1,1.0,False,2,2.0
271,75,59,False,0.9327062368392944,0.9327062368392944,1.0,1,1.0,False,2,2.0
272,75,60,False,0.7890137434005737,0.7890137434005737,1.0,1,1.0,False,2,2.0
273,75,61,False,0.7209219932556152,0.7209219932556152,1.0,1,1.0,False,2,2.0
274,75,62,False,0.6552392840385437,0.6552392840385437,1.0,1,1.0,False,2,2.0
275,75,63,False,0.6334021091461182,0.6334021091461182,1.0,1,1.0,False,2,2.0
276,75,64,False,0.6087628602981567,0.6087628602981567,1.0,1,1.0,False,2,2.0
277,75,65,False,0.6198715567588806,0.6198715567588806,1.0,1,1.0,False,2,2.0
278,75,66,False,0.7197828888893127,0.7197828888893127,1.0,1,1.0,False,2,2.0
279,75,67,False,0.8053240776062012,0.8053240776062012,1.0,1,1.0,False,2,2.0
280,75,68,False,0.8982178568840027,0.8982178568840027,1.0,1,1.0,False,2,2.0
281,75,69,False,0.9005513191223145,0.9005513191223145,1.0,1,1.0,False,2,2.0
